0.42505,0.95832,0.55365
0.39408,0.94747,0.67853
0.47702,0.97098,0.49109
0.49586,0.97391,0.5832
0.53434,0.97717,0.67327
0.47473,0.97057,0.69987
0.49533,0.97384,0.60636
0.50504,0.97502,0.63522
0.46608,0.96888,0.54629
0.56426,0.97717,0.59533
0.66833,0.95866,0.83952
0.52645,0.9768,0.56468
0.4737,0.97038,0.44604
0.55134,0.97745,0.63948
0.39437,0.94758,0.61183
0.52033,0.97641,0.65547
0.68211,0.95381,0.62622
0.55999,0.97731,0.67856
0.42233,0.95747,0.6203
0.58219,0.97608,0.66245
0.66825,0.95868,0.65926
0.56344,0.9772,0.83815
0.59533,0.97475,0.66474
0.58713,0.97563,0.76155
0.65051,0.96402,0.74438
0.58271,0.97604,0.72288
0.62716,0.96961,0.63466
0.52909,0.97694,0.66919
0.52888,0.97693,0.65804
0.59949,0.97424,0.67576
0.60161,0.97396,0.67832
0.66749,0.95893,0.6318
0.55277,0.97744,0.62236
0.62295,0.97045,0.77286
0.59785,0.97444,0.71003
0.49691,0.97405,0.6087
0.53135,0.97705,0.52712
0.55159,0.97744,0.5965
0.62269,0.9705,0.68208
0.56216,0.97724,0.67217
0.57657,0.97651,0.76096
0.58466,0.97586,0.55788
0.37973,0.94157,0.632
0.48355,0.9721,0.56745
0.56429,0.97717,0.76118
0.51712,0.97616,0.72538
0.49137,0.97329,0.67637
0.49419,0.97369,0.65595
0.46845,0.96936,0.72186
0.52097,0.97645,0.65822
0.49195,0.97338,0.47505
0.57989,0.97627,0.77047
0.53187,0.97707,0.80382
0.60293,0.97377,0.64605
0.37242,0.93834,0.58738
0.39847,0.94916,0.56758
0.51471,0.97597,0.78255
0.52722,0.97684,0.6997
0.49618,0.97395,0.58324
0.46977,0.96962,0.64826
0.5711,0.97685,0.58132
0.47111,0.96988,0.68483
0.59389,0.97492,0.68826
0.49202,0.97338,0.75288
0.48832,0.97284,0.62363
0.56863,0.97698,0.72105
0.58486,0.97585,0.69434
0.55467,0.97741,0.71806
0.52053,0.97642,0.60473
0.56965,0.97693,0.58033
0.61578,0.97177,0.76304
0.50854,0.97539,0.66515
0.36852,0.93656,0.53623
0.55213,0.97744,0.75364
0.64371,0.96582,0.71525
0.47617,0.97083,0.72394
0.62583,0.96988,0.66398
0.58058,0.97621,0.62934
0.52541,0.97674,0.53422
0.63291,0.96838,0.70547
0.49229,0.97342,0.76016
0.48565,0.97243,0.59295
0.58261,0.97604,0.76252
0.67064,0.95789,0.65111
0.46185,0.96799,0.58703
0.47745,0.97106,0.60416
0.52296,0.97659,0.56886
0.57825,0.97639,0.7437
0.62345,0.97035,0.67328
0.57244,0.97677,0.67979
0.62623,0.9698,0.61676
0.67828,0.95522,0.60078
0.57799,0.97641,0.54502
0.60951,0.9728,0.72262
0.52332,0.97661,0.75988
0.61144,0.9725,0.74338
0.59882,0.97432,0.60507
0.52212,0.97653,0.60963
0.46472,0.9686,0.63418
0.36504,0.93493,0.56619
0.57839,0.97638,0.66384
